tcode,description,module
QM50,Time line display Q notifications,QM
QP03,Display Inspection Plan,QM
QP61,Display change documents insp.plan,QM
QPR3,Display physical sample,QM
QPV3,Display sample drawing procedure,QM
QS24,Display master insp. charac. version,QM
QS26,Display characteristic use,QM
QS28,Display insp. charac. list,QM
QS34,Display inspection method version,QM
QS36,Display inspection method use,QM
QS38,Display inspection method list,QM
QS42,Display catalog,QM
QS49,Display code groups and codes,QM
QS52,Display selected set index,QM
QS59,Display selected sets,QM
RPC0,Info. System CCtrs: Presettings,FI
RPO0,Info. System Orders: Presettings,FI
RWBE,Multi Material Stock Overview,MM
S_ALN_01001144,Overview - Positions,FI
S_ALN_01001149,Remaining Term Statistics,FI
S_ALN_01001151,Overview - Accounting,FI
S_ALN_01001154,Simulated Valuation,FI
S_ALN_01001155,CFM Key Date Comparison,FI
S_ALN_01001157,Position Trend,FI
S_ALN_01001159,Revenues,FI
S_ALN_01001160,Sales Proceeds,FI
S_ALN_01001161,Due Date Grid,FI
S_ALR_87009895,Advance Return for Tax on Sales/Pur.,FI
S_ALR_87009973,Customer Master Data Comparison,MDM
S_ALR_87010052,Vendor Master Data Comparison,MDM
S_ALR_87010175,Depreciation Posted to Cost Center,FI
S_ALR_87010192,Asset Transactions,FI
S_ALR_87010193,Asset Transactions,FI
S_ALR_87011963,Asset Balances,FI
S_ALR_87011979,Physical Inventory List,FI
S_ALR_87011981,Physical Inventory List,FI
S_ALR_87011990,Asset History Sheet,FI
S_ALR_87012004,Depreciation,FI
S_ALR_87012013,Depreciation Comparison,FI
S_ALR_87012015,Manual Depreciation,FI
S_ALR_87012026,Depreciation,FI
S_ALR_87012028,Net Worth Valuation,FI
S_ALR_87012037,Changes to Asset Master Records,FI
S_ALR_87012039,Asset Transactions,FI
S_ALR_87012046,Asset Acquisitions(Mid-Quarter-Conv),FI
S_ALR_87012047,Asset Acquisitions(Mid-Quarter-Conv),FI
S_ALR_87012048,Asset Transactions,FI
S_ALR_87012050,Asset Acquisitions,FI
S_ALR_87012052,Asset Retirements,FI
S_ALR_87012054,Intracompany Asset Transfers,FI
S_ALR_87012056,Directory of Unposted Assets,FI
S_ALR_87012064,Depreciation,FI
S_ALR_87012066,Analysis of Retirement Revenue,FI
S_ALR_87012075,Asset History,FI
S_ALR_87012078,Due Date Analysis for Open Items,MM
S_ALR_87012079,Transaction Figures: Account Balance,MM
S_ALR_87012082,Vendor Balances in Local Currency,MM
S_ALR_87012083,List of Vendor Open Items,MM
S_ALR_87012084,Open Items: Vendor Due Date Forecast,MM
S_ALR_87012085,Vendor Payment History,MM
S_ALR_87012086,Vendor List,MM
S_ALR_87012087,List of vendor addresses,MM
S_ALR_87012089,Display Changes to Vendors,MM
S_ALR_87012102,Vendor Master Data Comparison,MDM
S_ALR_87012103,List of Vendor Line Items,MM
S_ALR_87012104,List Of Cleared Vendor Items,MM
S_ALR_87012132,Withholding Tax Report - France,FI
S_ALR_87012167,Accounts Rec. Information System,FI
S_ALR_87012168,Due Date Analysis for Open Items,FI
S_ALR_87012170,Transaction Figures: Special Sales,FI
S_ALR_87012171,Transaction Figures: Sales,FI
S_ALR_87012172,Customer Balances in Local Currency,FI
S_ALR_87012173,List of Customer Open Items,FI
S_ALR_87012174,List of Customer Open Items,FI
S_ALR_87012175,Open Items: Customer Due Date Forec.,FI
S_ALR_87012176,Customer Eval. with OI Sorted List,FI
S_ALR_87012177,Customer Payment History,FI
S_ALR_87012178,Customer Open Item Analysis(Overdue),FI
S_ALR_87012179,Customer List,MDM
S_ALR_87012180,List of customer addresses,MDM
S_ALR_87012182,Display Changes to Customers,MDM
S_ALR_87012183,Display Critical Customer Changes,MDM
S_ALR_87012195,Customer Master Data Comparison,MDM
S_ALR_87012197,List of Customer Line Items,MM
S_ALR_87012198,List of Cleared Customer Items,FI
S_ALR_87012199,Open Down Payments,FI
S_ALR_87012208,Bill of Exchange List,FI
S_ALR_87012209,Extended Bill of Exchange List (ALV),FI
S_ALR_87012211,Maintain Bill of Exchange Liability,FI
S_ALR_87012215,Display Changes to Credit Management,FI
S_ALR_87012218,Credit Master Sheet,FI
S_ALR_87012271,Cash Flow (Direct Method),FI
S_ALR_87012272,Cash Flow (Indirect Method) Variant,FI
S_ALR_87012273,Cash Flow (Indirect Method) Variant,FI
S_ALR_87012277,G/L Account Balances,FI
S_ALR_87012282,General Ledger Line Items,FI
S_ALR_87012284,Financial Statements,FI
S_ALR_87012287,Document Journal,FI
S_ALR_87012289,Compact Document Journal,FI
S_ALR_87012291,Line Item Journal,MM
S_ALR_87012293,Display of Changed Documents,FI
S_ALR_87012301,G/L Account Balances,FI
S_ALR_87012308,Display Changes to G/L Accounts,FI
S_ALR_87012326,Chart of Accounts,FI
S_ALR_87012328,G/L Account List,FI
S_ALR_87012330,Account Assignment Manual,FI
S_ALR_87012332,Customer / Vendor / G/L Account,FI
S_ALR_87012333,G/L accounts list,FI
S_ALR_87012341,Invoice Numbers Allocated Twice,FI
S_ALR_87012342,Gaps in Document Number Assignment,FI
S_ALR_87012344,Posting Totals,FI
S_ALR_87012346,Recurring Entry Documents,FI
S_ALR_87012347,Line Items Extract,FI
S_ALR_87012357,Advance Return for Tax on Sales/Pur.,FI
S_ALR_87012386,VAT Report for Portugal,FI
S_ALR_87012394,Record of Use and Sales Taxes (USA),FI
S_ALR_87012403,EC Sales List (Spain),FI
S_ALR_87012936,Depreciation Simulation,FI
S_ALR_87012957,BOM Changes for a Change Number,MM
S_ALR_87012976,All Changes for Change Number,MM
S_ALR_87012977,BOM Changes for a Change Number,PP
S_ALR_87012979,ECH: Change Number Overview,pp
S_ALR_87012987,Documents for Change Number,pp
S_ALR_87012993,Orders: Actual/plan/variance,FI
S_ALR_87012994,Orders: Current Period/Cumulative,FI
S_ALR_87012995,List: Orders,FI
S_ALR_87012996,List: Orders by Cost Element,FI
S_ALR_87012999,Orders: Actual/Plan/Commitments,FI
S_ALR_87013001,Orders: Yearly Comparison - Actual,FI
S_ALR_87013002,Orders: Quarterly Comparison - Act.,FI
S_ALR_87013003,Orders: Period Comparison - Actual,FI
S_ALR_87013007,SObj: Actual/Plan/Variance,FI
S_ALR_87013008,SObj: Actual/Plan/Commitment,FI
S_ALR_87013009,SObj: Current/Cumulated/Total,FI
S_ALR_87013010,Orders: Breakdown by Period,FI
S_ALR_87013011,Orders: Actual/Plan/Price Variance,FI
S_ALR_87013012,Orders: Actual/Plan/Consumption,FI
S_ALR_87013013,Orders: Actual TCrcy/OCrcy/CAcrcy,FI
S_ALR_87013014,List: Cost Elements (True Postings),FI
S_ALR_87013015,List: Actual Debit/Credit,FI
S_ALR_87013016,List: Plan Debit/Credit,FI
S_ALR_87013018,List: Total Plan/Actual/Commitments,CO
S_ALR_87013019,List: Budget/Actual/Commitments,CO
S_ALR_87013046,Planned Costs,CO
S_ALR_87013127,Order Selection,CO
S_ALR_87013139,Target/Actual/Prod.Variances: Cum.,CO
S_ALR_87013140,Target/Actual/Prod.Variances: Period,CO
S_ALR_87013142,Target/Actual Comparison: Cumulative,CO
S_ALR_87013143,Target/Actual Comparison: Periods,CO
S_ALR_87013145,Plan/Actual Comparison: Cumulative,CO
S_ALR_87013146,Plan/Actual Comparison: Periods,CO
S_ALR_87013148,Variance Categories: Cumulative,CO
S_ALR_87013149,Variance Categories: Periods,CO
S_ALR_87013151,Actual/WIP: Cumulative,CO
S_ALR_87013152,Actual/WIP: Periods,CO
S_ALR_87013154,Planned Costs: Cumulative,CO
S_ALR_87013155,Planned Costs: Periodic,CO
S_ALR_87013157,Cumulated Actual Costs,CO
S_ALR_87013158,Actual Costs: Periods,CO
S_ALR_87013162,Overview of Order Hierarchies,CO
S_ALR_87013180,Listing of Materials by Period,FI
S_ALR_87013181,Material Ledger Data Over Sev.Period,FI
S_ALR_87013182,Transaction History for a Material,FI
S_ALR_87013611,Cost Centers: Actual/Plan/Variance,FI
S_ALR_87013612,Area: Cost Centers,FI
S_ALR_87013617,Range: Activity Types,FI
S_ALR_87013618,Range: Statistical Key Figures,FI
S_ALR_87013631,Cost Centers: Rolling Year,FI
S_ALR_87013633,Cost Centers: Act./Plan/Var./Prev.Yr,FI
S_ALR_87013638,Cost Centers: Curr./Cum./Total Year,FI
S_ALR_87013643,Range: Orders,FI
S_ALR_87013647,Activity Types: Scheduled/Plan,FI
S_ALR_87013648,Range: Actual/Budget/Commitments,FI
S_ALR_87014407,Journal of Financial Transactions,FI
S_ALR_87015198,Correspondence Overview,FI
S_ALR_87015202,Journal: Transactions w. Cash Flows,FI
S_ALR_87015205,Treasury: Payment Schedule,FI
S_ALR_87015216,Posting Overview,FI
S_ALR_87015220,Treasury:Journal of Financial Trans.,FI
S_ALR_87015226,Journal: Transactions w. Cash Flows,FI
S_ALR_87015228,Treasury: Payment Schedule,FI
S_ALR_87015232,Posting Overview,FI
S_ALR_87015239,Treasury:Journal of Financial Trans.,FI
S_ALR_87015245,Journal: Transactions w. Cash Flows,FI
S_ALR_87015248,Treasury: Payment Schedule,FI
S_ALR_87015254,Posting Overview,FI
S_ALR_87099918,Primary Cost Planning Dep./Interest,FI
S_ALR_87099930,Analyze Costing Run,CO
S_ALR_87099931,Analyze Costing Run,CO
S_ALR_87099932,Variances Between Costing Runs,CO
S_ALR_87100623,Asset Retirements (French Law),FI
S_ALR_87100833,"Standard for Italy, Spain",FI
S_ALR_87101238,Display Change Documents,FI
S_BCE_68000174,IMG activity: SIMG_CFMENUORFBOB08,FI
S_BCE_68001393,Users by address data,CO
S_EB5_05000741,Ledger Comparison,FI
S_EBS_44000137,Ledger Comparison,FI
S_P00_07000111,Advance Return for Tax on Sales/Pur.,FI
S_P00_07000134,Simple Withholding Tax Return,CO
S_P00_07000221,EC Sales List in DME Format,FI
S_P99_41000062,Materials List: Prices and Inventory,FI
S_P99_41000111,List of Existing Mat. Cost Estimates,CO
S_PL0_09000127,Print Program: Spanish Invoice,FI
S_PL0_09000447,Withholding Tax Report for Vendor,CO
S_PL0_86000028,Fin. Statements: Act/Act Comparison,FI
S_PL0_86000029,Fin. Statement: Plan/Act. Comparison,FI
S_PL0_86000030,G/L Account - Balances,FI
S_PL0_86000031,Transaction Figures: Account Balance,FI
S_PL0_86000032,SAP Structured Balance List,FI
SBWP,SAP Business Workplace,FI
SDV,Document Viewer,FI
SEARCH_SAP_MENU,Find in SAP Menu,FI
SESSION_MANAGER,Session Manager Menu Tree Display,FI
SMX,Display Own Jobs,FI
SMXX,Display Own Jobs,FI
SO00,SAPoffice: Short Message,FI
SO01,SAPoffice: Inbox,FI
SO02,SAPoffice: Outbox,FI
SO03,SAPoffice: Private Folders,FI
SO07,SAPoffice: Resubmission,FI
SP02,Display Spool Requests,BC
SSC0,SAP Appointment Calendar (Employee),FI
SSC1,SAP (own) Appointment Calendar,FI
SU3,Maintain Users Own Data,BC
SU53,Evaluate Authorization Check,BC
SU56,Analyze User Buffer,BC
SWIA,WI Administration Report,FI
SWO_ASYNC,Asynchronous Method Call in BOR,FI
SXMB_MONI,Integration Engine - Monitoring,BC
TBCD,Treasury: Change Docs Transactions,FI
TBR8,Treasury: Display reference,FI
THM80,Effectiveness test,FI
THM81,OCI per hedging relationship,FI
THM82,Hedge plan overview,FI
THM83,Hedging Relationships per Derivative,FI
THM84,Prematurely Reclassified OCI,FI
THM85,Change documents for Hedge Managemnt,FI
TIS1,Overview - Positions,FI
TJ01,Journal of transactions,FI
TJ06,Option Expiration,FI
TJ07,Interest/Price Adjustment Schedule,FI
TJ10,Summary Journal Fin. Transctions,FI
TJ12,Journal: Transactions w. Cash Flows,FI
TM_53,Display Interest Rate Instrument,FI
TM_60,Line of Credit and Utilization,FI
TM_60A,"Lines of Credit, Drawings, Fees",FI
TM_63,Display Facility,FI
TM03,Display Fixed-Term Deposit,FI
TM13,Display Deposit at Notice,FI
TM22,Check Dates against Calendar,FI
TM33,Display Commercial Paper,FI
TM43,Display Cash Flow Transaction,FI
TMR1,Money Market: Flexible Position List,FI
TPM12,Treasury Ledger: Position List,FI
TPM13,Treasury Ledger: Flow List,FI
TPM20,Posting Journal,FI
TPM51,Periodic TRL Reporting,FI
TPM57C,Display Pos. ID (OTC Transactions),FI
TX-2,Maturity Schedule for Fwd Exch.Trans,FI
V.00,List of Incomplete Documents,SD
V.15,Display Backorders,SD
V/LC,Display Pricing Report,SD
V_RA,Backorder Processing: Selection List,SD
V-44,Display        Material Price,SD
V-48,Display        Price List,SD
V-52,Display        Cust.price,SD
VA01,Create Sales Order,SD
VA02,Change Sales Order,SD
VA03,Display Sales Order,SD
VA05,List of Sales Orders,SD
VA05N,List of Sales Orders- Enhanced version,SD
VA06,Sales Order Monitor,SD
VA14L,Sales Documents Blocked for Delivery,SD
VA23,Display Quotation,SD
VA33,Display Scheduling Agreement,SD
VA43,Display Contract,SD
VA45N,List of Contracts,SD
VAP3,Display Contact Person,SD
VB03,Display Material Listing/Exclusion,SD
VB13,Display Material Substitution,SD
VBO3,Display Rebate Agreement,SD
VD03,Display Customer (Sales),SD
VD53,Display Customer-Material Info,SD
VDBLOCK,Documents Blocked for Delivery,SD
VF01,Create Billing Document,SD
VF02,Change Billing Document,SD
VF03,Display Billing Document,SD
VF05,List Billing Documents,SD
VF05N,List of Billing Documents,SD
VF23,Display Invoice List,SD
VFX3,List Blocked Billing Documents,SD
VK01,Conditions: Dialog Box for CondElem.,SD
VK13,Display Condition,SD
VL02N,Change Outbound Delivery,LE
VL03,Display Outbound Delivery,LE
VL03N,Display Outbound Delivery,SD
VL06,Delivery Monitor,SD
VL06C,List Outbound Dlvs for Confirmation,SD
VL06D,Outbound Deliveries for Distribution,SD
VL06F,General delivery list - Outb.deliv.,SD
VL06G,List of Oubound Dlvs for Goods Issue,SD
VL06I,Inbound Delivery Monitor,LE
VL06IC,Confirmation of putaway inb. deliv.,LE
VL06IF,Selection inbound deliveries,LE
VL06IG,Inbound deliveries for goods receipt,LE
VL06IP,Inbound deliveries for putaway,LE
VL06L,Outbound Deliveries to be Loaded,LE
VL06O,Outbound Delivery Monitor,LE
VL06P,List of Outbound Dlvs for Picking,LE
VL06T,List Outbound Dlvs (Trans. Planning),LE
VL10B,Purchase Orders Due for Delivery,LE
VL10D,Purch. Order Items due for Delivery,LE
VL10F,PurchOrd Schedule Lines due for Dlv.,LE
VL10G,Documents due for Delivery,LE
VL22,Display Delivery Change Documents,LE
VL22N,Display Delivery Change Documents,LE
VL31N,Create Inbound Delivery,LE
VL32N,Change Inbound Delivery,LE
VL33N,Display Inbound Delivery,LE
VL71,Output from Outbound Deliveries,LE
VL74,Output from Handling Units,LE
VL75,Shipping Notification Output,LE
VLMOVE,HU Goods Movements,LE
VLPOD,Proof of delivery - Change Outbound Delivery,LE
VLPODA,POD - Display Outbound Delivery,LE
VT01N,Create Shipment,LE
VT03N,Display Shipment,LE
VT06,Select Shipments: Materials Planning,LE
VT12,Select Shipments: Transpt Processing,LE
VTRK,Tracking,LE
VV13,Display Output: Sales,SD
VV33,Display Output: Billing,SD
WE02,Display IDoc,BC
WE05,IDoc Lists,BC
XD03,Display Customer (Centrally),MDM
XD04,Customer Changes (Centrally),MDM
XK03,Display vendor (centrally),FI
XK04,Vendor Changes (Centrally),MDM
Z_PTP_VENDORS,PTP vendors,MM
Z_UPD_CROSS_TAB,Tcode to maintain ZMDM_LEGCY_CROSS,MDM
ZDAT_LEGACYPHS_TCODE,Legacy Product Hierarchy Structure,SD
ZDEV_EMI,EMI Transaction,BC
ZDEV_EZTRAC,EZ TRAC transaction,BC
ZDEV_MONITORING,Transaction for executing the report,BC
ZDEV_MOVE_FILES,Move Files Between Folders,BC
ZLEX_0070_BINUPD,LEX_EDD_0070 Change bin master,LE
ZLEX_BIN_TO_BIN_16,Transaction for Bin To Bin Transfer,LE
ZLEX_BIN_TO_BIN_TRAN,TCode for RF WM Bin to Bin Transfer,LE
ZLEX_CINDICATOR,LEX_EDD_0016 Cycle Counting Indicatr,LE
ZLEX_CYCLE_COUNTING,Inventory Progress Report,LE
ZLEX_FORM_PRINT,Transaction for Form Printing,LE
ZLEX_FRT_COST_UPD,Update Freight Cost in OBD,LE
ZLEX_GR_BY_HU,Goods Receipt by HU,LE
ZLEX_INVENTORY,"LEX Inventory table MARD, MARC",LE
ZLEX_LM03,Put Away - by TO,LE
ZLEX_LM05,Picking by TO ID,LE
ZLEX_LM07,Group Picking,LE
ZLEX_LM50,Count Inventory By System Guided,LE
ZLEX_LM51,Count Inventory By User Selection,LE
ZLEX_LM58,Sys. guided dynamic inventory count,LE
ZLEX_LM59,User initiated dynamic invent. count,LE
ZLEX_LM60,User guided dynamic invent. count,LE
ZLEX_MAT_WM_1,LEX_MAT_WM_1 LEX MaT Master WM View1,LE
ZLEX_MAT_WM_2,LEX_MAT_WM_1 LEX MaT Master WM View2,LE
ZLEX_MATERIAL,"LEX Material Master,Plant level-MARC",LE
ZLEX_PARCEL_PGI,PGI of parcel deliveries,LE
ZLEX_PCN_UPD,WM Posting Change Update,LE
ZLEX_PHYS_INV,Transaction code for inventory,LE
ZLEX_POD,T-CODE for table ZLEX_POD,LE
ZLEX_QVAL_ACT,DG Q-Value Activation,LE
ZLEX_RECEIVE_REPORT,LEX Receiving Report,LE
ZLEX_RF_RECEIVING,SAPMZLEXR0248O_RF_RECEIVING,LE
ZLEX_RF_REPRINT,Label reprinting for Receiving RF,LE
ZLEX_SCRAP_REPORT, SLED Scrap List Report,LE
ZLEX_SHIPMNT_PROXY,IDD0083: Shipment Interface Proxy,LE
ZLEX_SPECMAT,Spec. Material Assignment Report,LE
ZLEX_WMBIN_UPDATE,WM - Load Last Bin Count Date,LE
ZLEX_WMRPT,WM Expected Delivery Report,LE
ZMDG_DIVSTY_CLS,Minority type for Diversity Classifi,MDM
ZMDM_CLSFN_CHRS,View for ZMDMV_CLSFN_CHRS,MDM
ZMDM_CM_RPT_CC,Customer Master Report for Com. Code,MDM
ZMDM_CM_RPT_COMM,Customer Master Report for Email Add,MDM
ZMDM_CM_RPT_GEN,Customer Master Report for Gen. Data,MDM
ZMDM_CM_RPT_PATN,Customer Master Rep. for Partner Fn.,MDM
ZMDM_CM_RPT_SALE,Customer Master Rep. for Sales View,MDM
ZMDM_COE_SCRN,MDM COE Approval,MDM
ZMDM_CUST_BASIC_LIST,Display Customer Basic List,MDM
ZMDM_CUST_MDM_WF,Custodian screen for MDM WF,MDM
ZMDM_CUSTOMER_REL,Customer Relation Report,MDM
ZMDM_DOWNLOAD_TABLES,Download SAP tables into .txt file,MDM
ZMDM_IDOC_ANALYSIS,Idoc Analysis Report,MDM
ZMDM_MAINT_CROSSTAB,Tcode to maintain ZMDM_LEGCY_CROSS,MDM
ZMDM_MAT_BASIC_LIST,Report for Material Basic List,MDM
ZMDM_MAT_MASTER,Display Table ZMDM_MAT_MASTER,MDM
ZMDM_MAT_MSTR_WF,Screens for Material Master WF,MDM
ZMDM_MM_RPT_ACCTG,Material Report - Acct & Finance,MDM
ZMDM_MM_RPT_CLASS,Material Report - Class,MDM
ZMDM_MM_RPT_PLANT,Material Report - Global & Plant,MDM
ZMDM_MM_RPT_QM,Material Report - Plant & Quality,MDM
ZMDM_MM_RPT_SALESORG,Material Report - Sales Org Data,MDM
ZMDM_MM_RPT_WM,Material Report - WM Warehouse,MDM
ZMDM_PRICELIST,Program to download Price List,MDM
ZMDM_QUALITY,Table view for ZMDMV_QUALITY,MDM
ZMDM_SHIP_SUB,Shipping storage condition report fo,MDM
ZMDM_TAX_CLSFN,Table view for ZMDM_TAX_CLSFN,MDM
ZMDM_VEND_SUN,Sunshine Vendors Report,MDM
ZMDM_VM_RPT_GEN,Vendor Master Rep. for General View,MDM
ZMDM_VM_RPT_PARTN,Vendor Master Report for Partner Fn,MDM
ZMDM_WF_MAT_APPR,Tcode To Maintain MM Custodians,MDM
ZMDM_WF_MAT_MASTER,Table Maintainance/View for MM WF,MDM
ZOTC_AR_WRITEOFF,AR Write-off Process,MDM
ZOTC_AUTO_POD_CONF,TCode to run report Auto_POD_Confirm,MDM
ZOTC_BATCH_MATCHING,Batch Matching Report,SD
ZOTC_BATCHMATCHING,Batch Matching Master Data,MDM
ZOTC_BILLING,Query for VBRK and VBPA,SD
ZOTC_BILLING_DETAIL,"Query for VBRP, LIKP and VBREVE",SD
ZOTC_BILLING_REPORT,Billing Report,SD
ZOTC_BILLPLAN,Billing plan exception report,SD
ZOTC_CCENTER,Transaction to maintain  cost center,FI
ZOTC_CERTIFY,Request for Certificate of Origin,SD
ZOTC_CUSTSATXT,ZOTCR0026O - Customer Collect A/C,SD
ZOTC_DEBIT_CREDIT,Debit Credit report,SD
ZOTC_DEL_REP,ZOTC Outbound Delivery Report,SD
ZOTC_FOC,FOC Report for VAT,FI
ZOTC_LOAD_ENDCUST,Load data to EndCustomer_Assn Table,SD
ZOTC_LOAD_TERRITASSN,Load data to Territory_Assn Table,SD
ZOTC_MAINT_ENDCUSEXC,Maintain End Customer Exceptions,SD
ZOTC_MAINT_ENDCUST,Maintain EndCust Assignment online,SD
ZOTC_MAINT_SREPEXC,Maintain Sales Rep Exceptions,SD
ZOTC_MAINT_TERRASSN,Maintain Territory Assignment online,SD
ZOTC_POD_REPORT,TCode for Comprehensive POD Report,SD
ZOTC_PRICE_COND,Pricing Condition,SD
ZOTC_PRICE_OVERRIDE,Transaction Code for Price Override,SD
ZOTC_PRICING_REPORT,Pricing Report for Mass Price Upload,SD
ZOTC_REV_RECOG,Query for VBREVE,SD
ZOTC_SET_IDOC_STATUS,Set Idoc Status,SD
ZOTC_SN_DOC_DISPLAY,Seial number document display,SD
ZOTC_V_NLN,Send transfer price via V_NLN,SD
ZOTC_VFX3_REPORT,Tcode for ZOTC0142_VFX3_ACCURAL_REP,SD
ZPLM_ADD_OBJECTS_ER,Add Objects to Engineering Record,PLM
ZPLM_AMPL_DELETE,Mark Z007 Deletion,PLM
ZPLM_AMPL_UPLOAD,Mass Load of AMPL,PLM
ZPLM_CAPDMF_CHECK,Maintain CAP/DMF Checks,PLM
ZPLM_CREATE_Z002,Create eBOM Component Material Z002,PLM
ZPLM_CREATE_Z007,Create MPN Material (Z007),PLM
ZPLM_CREATE_Z027,Z002 & Z007 Combo material creation,PLM
ZPLM_DISPLAY_MR,Display Material Request,PLM
ZPLM_DMRREPORT,Device Master Record Report,PLM
ZPLM_DMS_RASIC,Maintain DMS RASIC table,PLM
ZPLM_ECAD,PLM eCAD Integration Launchpad,PLM
ZPLM_ECAD_EBOM_LOAD,Load eBOMs from eCAD,PLM
ZPLM_ECM_MATRIX,Maintain ECM Matrix table,PLM
ZPLM_LABEL_BATCH_DIS,PLM Material Batch Counter,PLM
ZPLM_LABEL_COUNTER,PLM Label Batch Counter Management,PLM
ZPLM_LABEL_PRINT,Bartender Label Printing,PLM
ZPLM_LABEL_REPORT,India Lable Report,PLM
ZPLM_MAT_SEARCH,Search for Bio-Rad part number,PLM
ZPLM_MATERIAL_DISPOS,Material disposition,PLM
ZPLM_MATL_SPEC,Material Specification Sheet,PLM
ZPLM_MM_DASHBOARD,PLM MM: Dashboard,PLM
ZPLM_MM_REQ_SET,PLM MM: Material request settings,PLM
ZPLM_MM_TIER2_REQ,PLM MM: Tier2 Request,PLM
ZPLM_MM_WHERE_USED,Where-used report to multi level BOM,PLM
ZPLM_MPN_MAT_SEARCH,Search based on Manufacturer/MPN,PLM
ZPLM_MPNREPORT,MPN Report,PLM
ZPLM_ORIGIN_REPORT,Origin Report,PLM
ZPLM_PLANNING_REPORT,Transaction code for Planning Report,PLM
ZPLM_RD_WF_UTILITY,Spec WF Status and Agent Tracking,PLM
ZPLM_RELEASE_Z002,Release eBOM Component Material Z002,PLM
ZPLM_RND_PURC_REPORT,R&D NPD Purchasing Report,PLM
ZPLM_RROLLUP,RoHS Rollup for Purchased and Manufa,PLM
ZPLM_UPDATE_Z002,Update eBOM Component Material Z002,PLM
ZPLM_UPDATE_Z007,Create MPN Material (Z007),PLM
ZPLM_WF_UTILITY,WF Agent Tracking Utility,PLM
ZPLM_WRKFLOW_DASHBRD,"eBOM,MPN Support Workflow Dashboard",PLM
ZPTM_ALIGN_RECP,Discontinuation Management Report,PI
ZPTM_ALLOCATION_RPT,QSD Allocation Extract,PI
ZPTM_BATCH_QA,Batch Audit Look Up,PI
ZPTM_BATCH_RFSCREEN,Batch Number to the Front RF Screen,PI
ZPTM_BATCHCARD,Master Batch Card Report,PI
ZPTM_BLK_CAL_TR,Maintain table  ZPTM_BLK_CAL_TR,PI
ZPTM_BLK_PRD_MAS,Maintain table  ZPTM_BLK_PRD_MAS,PI
ZPTM_BOM_REP,Bill of Materials Report,PI
ZPTM_BOX_SCH,Box scheduling program,PI
ZPTM_BULK_CALC,RBC - Bulk/Buffer Calculator,PI
ZPTM_CCYCLE_REPORT,Control Cycle extract,PI
ZPTM_CHANGE_BATCH,Change Batch Master,PP
ZPTM_CREATE_BATCH,Create Batch Master,PP
ZPTM_CSLED,Commercial Shelf Life Report,PI
ZPTM_CSTBOM_REPORT,Costed Bom Report,PI
ZPTM_DATE1,Batch Master Date 1 Report,PP
ZPTM_DISPATCH,Production dispatch report,PI
ZPTM_DOC_ARCH,Scanned but not linked documents,PI
ZPTM_DOC_PRINT,Dynamic Document Printing,PI
ZPTM_EX_BATCH_QSD,QSD Batch Extract Reports,PI
ZPTM_EXTRACT_INSP,Extract Inspection Plan Report,PI
ZPTM_EXTRACT_RCP,Tcode for Extract Recipe,PI
ZPTM_FILL_TARGETCALC,Fill Target Calculator,PI
ZPTM_FIRMPLORD_RPT,Firmed Planned Orders to Kinaxis,PI
ZPTM_GENEALOGY,GENEALOGY Report,PI
ZPTM_GI_RF,PTM_EDD_0063: GIPO RF device,PI
ZPTM_GI_RF_SCRAP,Transaction for GI-Scraping Function,PI
ZPTM_GI_TRAY,PTM_EDD_0367-RF GI of Empty ID Cards,PI
ZPTM_GR_BARCODE,PTM_EDD_0064_Goods Receipt Barcode,PI
ZPTM_INV_SHORTAGE,Inventory Shortage Report,PI
ZPTM_IVDR_REPORT,IVDR Vendor List Report,PI
ZPTM_LTP_LIST,Planned Orders from Long Term Planni,PI
ZPTM_MATERIAL_MEMO,Transaction for Material Memo Report,PI
ZPTM_MD07,Supply Chain Exception Monitor,PI
ZPTM_MDATA_IMPACT,Master Data Changing Impact Report,PI
ZPTM_MIC_REP,MIC Extract Report,PI
ZPTM_MRP_CFG,MRP - Batch Expiry Date Planning,PI
ZPTM_MRP_REPORT,T-code for MRP Report,PI
ZPTM_OPEN_STO_LRD,Open LRD STO Report,PI
ZPTM_OPEN_STR_RPT,Firmed Purchase and STR Report,PI
ZPTM_OPENPO_RPT,Open PO & STO Report,PI
ZPTM_OPENSO_RPT,Open SO Report,PI
ZPTM_OPTR_QUAL,PTM Operator Qualification,PI
ZPTM_PI_SHEETS,PTM PI Sheets Log,PI
ZPTM_PI_SHEETS_LIST,Report on ZPTM_PI_SHEETS table,PI
ZPTM_PLM_LOAD_VERIF,Verificatn Reprt for Loading of PLM,PI
ZPTM_PO_PHASE_CONF,Process Order Phase Confirmation,PI
ZPTM_PRCORD_EXTRACT,Work order/ QI Stock/ Reservation re,PI
ZPTM_PREQ,Query to access the purchase req.,PI
ZPTM_PRINT_PRO_ORDER,Print SAP Process Order Form,PI
ZPTM_PROCORD_LBL,Sap Process Order Detail BPR label,PI
ZPTM_PROJ_LOT,Projected Receipts for RI,PI
ZPTM_QGA5,Inspection Details,PI
ZPTM_REL_REP,Phase Relationship Extract Report,PI
ZPTM_RPR,Global Replenishment Planning Report,PI
ZPTM_SAMPLE_LABEL,Sample Label Form,PI
ZPTM_SERNO_CUS,Equipment Customer Report,PI
ZPTM_SHIPMENTS_RPT,SO shipment Report,PI
