tcode,description,module
F9I7,Display Payment Item,FI
F9K3,Display Account,FI
F9KE,Application Log Account Closure,FI
F9N10,Overview End of Day Processing,FI
F9N3,Application Log Bank Statement,FI
FAGLB03,Display Balances,FI
FAGLL03,G/L Account Line Items (New),FI
FB03,Display Document,FI
FB03L,Document Display : G/L View,FI
FB04,Document Changes,FI
FB12,Correspondence Request,FI
FB41,Post Tax Payable,FI
FBD3,Display Recurring Entry,FI
FBD4,Display Recurring Entry Changes,FI
FBL1,Display Vendor Line Items,FI
FBL1N,Vendor Line Items,FI
FBL3,Display G/L Account Line Items,FI
FBL5N,Customer Line Items,FI
FBPM2,Status Report,FI
FBU3,Display Intercompany Document,FI
FBV3,Display Parked Document,FI
FBV5,Document Changes of Parked Documents,FI
FCC4,Payment Cards: Display Logs,FI
FD03,Display Customer (Accounting),FI
FD33,Display Customer Credit Management,FI
FF.6,Display Electronic Bank Statement,FI
FF.7,Compare Payment Advices,FI
FF/9,Compare Advices with Bank Statement,FI
FF_6,Display Electronic Bank Statement,FI
FF-3,Cash Management Summary Records,FI
FF-4,CMF Data In Accounting Documents,FI
FF-7,Planned Item Journal,FI
FF7A,Cash Position,FI
FF7B,Liquidity forecast,FI
FF-8,Payment Advice Journal,FI
FFA1,Compare Advices with Bk.Stmt Advices,FI
FGI0,Execute Report,FI
FGI3,Display Report,FI
FI03,Display Bank,FI
FI04,Display Bank Changes,FI
FK03,Display Vendor (Accounting),FI
FK10N,Vendor Balance Display,FI
FS03,Display Master Record,FI
FS04,G/L Account Changes (Centrally),FI
FS10N,Balance Display,FI
FSEPA_M3,SEPA: Display Mandate,FI
FSP4,G/L Account Changes in Chart/Accts,FI
FSS4,G/L Account Changes in Company Code,FI
FTR_ALERT,Financial Transaction: Alert Monitor,FI
FTXA,Display Tax Code,FI
GCAC,Ledger comparison,FI
GR55,Execute Report Group,FI
GS03,Display Set,FI
GT_IVL,Invoice List,FI
HUMO,HU Monitor,LE
IE02,Change Equipment,PM
IE03,Display Equipment,PM
IHC0,Payment Order Browser,FI
IL03,Display Functional Location,QM
IQ01,Create Material Serial Number,PM
IQ02,Change Material Serial Number,PM
IQ03,Display Material Serial Number,PM
IQ09,Display Material Serial Number,PM
IQS1,Create Notification - Extended View,QM
IQS12,Process Task,QM
IQS13,Display Task,QM
IQS2,Change Notification - Extended View,QM
IQS3,Display Notification - Extended View,FI
IQS9,Worklist: Tasks (General),QM
ITINVOICE,Vendor Customer List (Italy),FI
J1B3N,Display Nota Fiscal - Enjoy,FI
J6NY,DocuLink,FI
KA03,Display Cost Element,FI
KA05,Cost element: display changes,FI
KA23,Cost Elements: Master Data Report,FI
KABL,Order: Planning Overview,FI
KAH3,Display cost element group,FI
KAK3,Display Statistical Key Figures,FI
KB33N,Display Statistical Key Figures,FI
KB63,Display Reposting of CO Line Items,FI
KBH3,Display statistical key figure group,FI
KCH3,Display profit center hierarchy,FI
KCH6N,EC-PCA: Display Standard Hierarchy,FI
KE21N,CO-PA Line Item Entry,FI
KE24,Line Item Display - Actual Data,FI
KE26,Repost Accounting Document,FI
KE27,Periodic valuation,FI
KE28,Create top-down distribution,FI
KE28A,Run Top-Down Distribution,FI
KE28L,Administration: Logs,FI
KE29N,Administration: Logs,FI
KE4S,Post billing documents to CO-PA,FI
KE4S00,CO-PA: Reversal of Line Items,FI
KE53,Display Profit Center,FI
KE5X,Profit Center: Master Data Index,FI
KEPC,Flexible Callup of Cost Estimates,FI
KK03,Display Statistical Key Figures,FI
KK04,Stat.Key Figures: Master Data Report,FI
KKBC_HOE,Analyze Summarization Object,FI
KKBC_ORD,Analyze Order,FI
KKH3,Display Cost Object Group,FI
KKRC,Summarization: CO Object,CO
KKRS,Summarization: Repetitive Mfg (COC),CO
KKRV,Data Collection Product Drilldown,CO
KL03,Display Activity Type,CO
KL05,Activity type: Display changes,CO
KL13,Activity Types: Master Data Report,CO
KLH3,Display Activity Type Group,CO
KO01,Create Internal Order,FI
KO02,Change Order,FI
KO03,Display Internal Order,CO
KO12,"Change Order Plan (Overall, Year)",FI
KO13,"Display Order Plan (Overall, Year)",FI
KO22,Change Order Budget,FI
KO23,Display Order Budget,FI
KO24,Change Order Supplement,FI
KO25,Display Order Supplement,FI
KO26,Change Order Return,FI
KO27,Display Order Return,FI
KO2A,Change budget document,FI
KO2B,Display budget document,FI
KO30,Activate Orders Availability Control,FI
KO32,Deactivate Order Availability Cntrl,FI
KOB1,Orders: Actual Line Items,CO
KOB2,Orders: Commitment Line Items,CO
KOB3,Orders: Variance Line Items,CO
KOB4,Orders: Budget Line Items,CO
KOB8,Orders: WIP/Results Anal. Line Items,CO
KOBP,Orders: Plan Line Items,FI
